trial_id,video_start_time,video_end_time,towel_initial_position,towel_orientation,approach_success,left_grasp_success,right_grasp_success,lift_success,fold_success,release_success,final_success,duration_seconds,manual_reset_required,checkpoint,notes
01,1.5,28.5,workspace_center (approx.),approximately aligned with table edges,true,true,true,true,true,true,true,27.0,true,towel_fold_act_v4_scratch60k/040000,"Initial manual placement is visible at the beginning; both arms withdraw after release and the folded towel settles."
02,31.5,59.5,workspace_center (approx.),approximately aligned with table edges,true,true,true,true,true,true,true,28.0,true,towel_fold_act_v4_scratch60k/040000,"Manual reset occurs at approximately 29.0-31.5 s; all six task stages are visually completed."
03,62.5,90.5,workspace_center (approx.),approximately aligned with table edges,true,true,true,true,true,true,true,28.0,true,towel_fold_act_v4_scratch60k/040000,"Manual reset occurs at approximately 60.0-62.5 s; minor initial cloth-shape variation is visible."
04,94.0,121.0,workspace_center (approx.),approximately aligned with table edges,true,true,true,true,true,true,true,27.0,true,towel_fold_act_v4_scratch60k/040000,"Manual reset occurs at approximately 91.5-94.0 s; folded towel settles before the next reset."
05,124.0,152.0,workspace_center (approx.),approximately aligned with table edges,true,true,true,true,true,true,true,28.0,true,towel_fold_act_v4_scratch60k/040000,"Manual reset occurs at approximately 121.5-124.0 s; no stage failure is visible."
06,155.5,183.0,workspace_center (approx.),approximately aligned with table edges,true,true,true,true,true,true,true,27.5,true,towel_fold_act_v4_scratch60k/040000,"Manual reset occurs at approximately 152.5-155.5 s; both grasp points remain engaged during lift and fold."
07,186.5,215.5,workspace_center (approx.),approximately aligned with table edges,true,true,true,true,true,true,true,29.0,true,towel_fold_act_v4_scratch60k/040000,"Manual reset occurs at approximately 183.5-186.5 s; this is the longest of the ten completed trials."
08,220.5,248.5,workspace_center (approx.),approximately aligned with table edges,true,true,true,true,true,true,true,28.0,true,towel_fold_act_v4_scratch60k/040000,"Manual reset occurs at approximately 216.0-220.5 s; all six task stages are visually completed."
09,252.5,281.5,workspace_center (approx.),approximately aligned with table edges,true,true,true,true,true,true,true,29.0,true,towel_fold_act_v4_scratch60k/040000,"Manual reset occurs at approximately 249.0-252.5 s; operator torso and forearms are visible during reset."
10,285.5,314.0,workspace_center (approx.),approximately aligned with table edges,true,true,true,true,true,true,true,28.5,true,towel_fold_act_v4_scratch60k/040000,"Manual reset occurs at approximately 282.0-285.5 s; an additional incomplete attempt begins after the next reset and is not counted."
